hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_popcenter2,dist_market,dist_border2,dist_admctr,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,popdensity,hybrid_V8,ssa_aez09,afmnslp_pct,srtm_1k,twi,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2018_tot,h2018_wetQ,h2018_wetQstart,qstartavg,ndvi_avg,ndvi_max,h2018_ndvi_avg,h2018_ndvi_max
10062,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10063,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10064,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10065,5.116151859,7.39632755,0.5,3.3,3.3,530.5,3.3,264,251,2341,370,1016,3293,5,314,1,65,14,3,2,1,1,1,1,1,1766,799,16,2569,1147,16,24,0.226,0.305,0.194,0.212
10066,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10067,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10068,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10069,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10070,5.315248341,7.433434646,8.8,24,23.3,528.3,24,261,248,2233,341,952,653,21,314,3,109,16,3,2,1,1,1,1,1,1777,809,18,2605,1159,17,27,0.282,0.368,0.299,0.328
10071,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10072,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10073,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10074,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10075,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10076,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10077,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10078,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10079,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10080,5.918928325,7.422498457,1.1,12.3,57.7,514,12.3,267,253,1988,305,850,1121,42,313,3,119,18,2,2,1,1,1,1,1,1505,712,16,2176,1027,16,26,0.347,0.448,0.355,0.412
10091,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10092,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10093,5.289804492,7.578037279,1.4,3.1,3.2,525,3.1,264,251,2258,342,954,750,44,314,3,71,16,3,2,1,1,1,1,1,1859,844,17,2266,1070,16,27,0.258,0.35,0.238,0.316
10094,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10096,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10097,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10098,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10099,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10100,5.38520298,7.527887044,6.8,19.3,30.3,544.6,19.3,263,250,2208,331,929,611,39,314,4,88,13,3,2,1,1,1,1,1,1783,819,17,2378,1076,16,26,0.266,0.359,0.216,0.353
10102,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10103,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10104,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10105,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10106,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10107,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10108,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10109,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
10110,5.69861467,7.519499328,4.8,16.9,34.8,536.5,16.9,265,251,2075,312,882,253,44,313,4,109,14,3,2,1,1,1,1,1,1672,794,17,2440,1187,17,26,0.374,0.478,0.423,0.493
19001,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
