hhid,LON_DD_MOD,LAT_DD_MOD,mean,mean_1,mean_2,mean_3
"180096",8.473890417370002,9.209537251380000,0.964191710725825,0.717056674498732,0.252443638941877,3.6430718480201
"180097",8.473890417370002,9.209537251380000,0.964191710725825,0.717056674498732,0.252443638941877,3.6430718480201
"180098",8.473890417370002,9.209537251380000,0.964191710725825,0.717056674498732,0.252443638941877,3.6430718480201
"180099",8.473890417370002,9.209537251380000,0.964191710725825,0.717056674498732,0.252443638941877,3.6430718480201
"180100",8.473890417370002,9.209537251380000,0.964191710725825,0.717056674498732,0.252443638941877,3.6430718480201
"180101",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180102",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180103",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180104",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180105",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180106",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180107",8.552933304830002,10.059416617800000,0.951331864544415,0.473450235182587,0.200087706194467,2.3953162809097
"180108",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180109",8.463138134119999,9.742384060290000,0.948486688365675,0.380149242231896,0.161535048312595,0.628758932250292
"180110",8.577944673470000,10.254739398800000,0.955639950792733,0.615083551166043,0.261693190484415,2.87402408239215
"180111",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
"180112",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
"180113",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
