,hhid,LON_DD_MOD,LAT_DD_MOD,rade9_aggregated_mean,lightscore_aggregated_mean,prplit_aggregated_mean,zscore_aggregated_mean
0,10001,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
1,10002,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
2,10003,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
3,10004,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
4,10005,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
5,10006,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
6,10008,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
7,10009,7.56949383789,5.46540908966,1.05981720522659,0.983685205874249,0.640020730611981,5.05458252608879
8,10010,7.53153560163,5.53545594433,1.30354173247879,0.999023313553125,0.96187073677593,22.1800198205346
9,10011,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
10,10012,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
11,10013,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
12,10014,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
13,10015,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
14,10016,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
15,10017,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
16,10018,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
17,10019,7.611029751,5.55555406781,0.989344574691793,0.901713273178432,0.490176150466104,4.23819476100826
18,10021,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
19,10022,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
20,10023,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
21,10024,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
22,10025,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
23,10027,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
24,10028,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
25,10029,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
26,10030,7.40188916719,5.35086568605,1.04621318369298,0.953831495958643,0.511039540171623,2.5184872629834
27,10031,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
28,10032,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
29,10033,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
30,10034,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
31,10035,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
32,10036,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
33,10037,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
34,10038,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
35,10039,6.9068727711,6.11637020151,1.2370257436252,0.988288498295505,0.838411889958109,6.7035195823582
36,10040,7.37471602851,5.14203254737,1.72523101946203,0.999999594851431,0.989763116308115,34.2952652357508
37,10041,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
38,10042,3.34195135318,6.54433641702,2.75078468322754,1.0,1.0,97.1026931912439
39,10043,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
40,10044,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
41,10045,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
42,10046,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
43,10047,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
44,10048,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
45,10049,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
46,10050,7.3745962586,5.11421765924,1.88626657823989,1.0,0.995632644016566,35.0874370006505
47,10051,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
48,10052,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
49,10053,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
50,10054,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
51,10055,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
52,10056,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
53,10057,7.36620770377,5.09037333332,1.76999292419132,0.999990795138452,0.991659252270315,32.3369833458649
